,date,amount,concept,origin,total
0,2018-01-01,2000.0,Acme Corporation,dummy,2000.0
1,2018-01-01,-15.0,netflix,dummy,1985.0
2,2018-01-01,-50.0,secret payment,dummy,1935.0
3,2018-01-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,1135.0
4,2018-01-02,-25.102799770986508,Deli Feast,dummy,1109.8972002290134
5,2018-01-03,-34.21587887277551,Yums N Food,dummy,1075.681321356238
6,2018-01-03,-50.0,Hulking Center,dummy,1025.681321356238
7,2018-01-04,-34.175350488496555,Yum Market,dummy,991.5059708677414
8,2018-01-04,-2.5207542906827665,Public bus,dummy,988.9852165770586
9,2018-01-05,-39.066476109383814,Yums N Food,dummy,949.9187404676748
10,2018-01-05,-2.857546889238659,Public bus,dummy,947.0611935784361
11,2018-01-05,-20.0,Internet,dummy,927.0611935784361
12,2018-01-05,-27.265313284928187,Roadside Petrol,dummy,899.7958802935079
13,2018-01-06,-2.2134754667697525,Public bus,dummy,897.5824048267382
14,2018-01-06,-30.145186621859008,Yums N Food,dummy,867.4372182048792
15,2018-01-07,-2.1201879619584347,Public bus,dummy,865.3170302429207
16,2018-01-07,-35.371951084241076,Marineara,dummy,829.9450791586796
17,2018-01-08,-2.150300810860443,Public train,dummy,827.7947783478191
18,2018-01-08,-37.41680924143654,Marineara,dummy,790.3779691063826
19,2018-01-09,-1.9126146185800494,Public bus,dummy,788.4653544878025
20,2018-01-10,-16.50488320342056,Deli Feast,dummy,771.9604712843819
21,2018-01-10,-2.660480477814561,Public bus,dummy,769.2999908065674
22,2018-01-11,-1.7111019648612773,Public bus,dummy,767.5888888417061
23,2018-01-12,-26.18682668846656,Roadside Petrol,dummy,741.4020621532395
24,2018-01-14,-28.960697232485813,Bistro Captain,dummy,712.4413649207537
25,2018-01-16,-49.4764175366665,Yum Market,dummy,662.9649473840872
26,2018-01-16,-2.1448660806920676,Public bus,dummy,660.8200813033951
27,2018-01-17,-1.4496163894918572,Public train,dummy,659.3704649139032
28,2018-01-17,-26.862907243125658,Bistro Captain,dummy,632.5075576707776
29,2018-01-17,-12.0,Yum Popcorn Horizon,dummy,620.5075576707776
30,2018-01-17,-45.43390768799084,Marineara,dummy,575.0736499827867
31,2018-01-18,-59.970457829530666,Yums N Food,dummy,515.103192153256
32,2018-01-18,-1.7317372212110496,Public bus,dummy,513.371454932045
33,2018-01-19,-2.4027690222657827,Public bus,dummy,510.96868590977925
34,2018-01-20,-1.5551297601085818,Public train,dummy,509.4135561496707
35,2018-01-21,-1.6573129417292047,Public bus,dummy,507.75624320794145
36,2018-01-21,-30.973824211246054,Marineara,dummy,476.7824189966954
37,2018-01-21,-23.19747815194187,The Hungry Harvest,dummy,453.58494084475353
38,2018-01-22,-2.3944144987954368,Public train,dummy,451.1905263459581
39,2018-01-23,-2.392327614074817,Public train,dummy,448.7981987318833
40,2018-01-25,-19.451875465272312,Bistro Captain,dummy,429.34632326661097
41,2018-01-26,-1.469091657019666,Public train,dummy,427.8772316095913
42,2018-01-27,-1.8318653447899875,Public bus,dummy,426.0453662648013
43,2018-01-28,-1.2294278653516622,Public bus,dummy,424.81593839944964
44,2018-01-28,-30.0,Electricity,dummy,394.81593839944964
45,2018-01-29,-12.0,Cinemasi,dummy,382.81593839944964
46,2018-01-30,-1.6430509174129388,Public train,dummy,381.1728874820367
47,2018-02-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,-418.8271125179633
48,2018-02-01,-50.0,secret payment,dummy,-468.8271125179633
49,2018-02-01,-15.0,netflix,dummy,-483.8271125179633
50,2018-02-01,-26.981774780102246,Yum Market,dummy,-510.80888729806554
51,2018-02-01,2000.0,Acme Corporation,dummy,1489.1911127019343
52,2018-02-02,-36.76095811422968,Marineara,dummy,1452.4301545877047
53,2018-02-03,-24.635225118417107,The Hungry Harvest,dummy,1427.7949294692876
54,2018-02-03,-50.0,Hulking Center,dummy,1377.7949294692876
55,2018-02-03,-2.413249105430489,Public bus,dummy,1375.3816803638572
56,2018-02-04,-46.37857548749638,Marineara,dummy,1329.0031048763608
57,2018-02-04,-2.5759793453869433,Public train,dummy,1326.4271255309739
58,2018-02-05,-2.111268577277034,Public train,dummy,1324.3158569536968
59,2018-02-05,-47.142452771839906,Marineara,dummy,1277.1734041818568
60,2018-02-05,-20.0,Internet,dummy,1257.1734041818568
61,2018-02-06,-26.991679635435936,The Hungry Harvest,dummy,1230.1817245464208
62,2018-02-06,-2.5392356207951554,Public train,dummy,1227.6424889256257
63,2018-02-07,-35.6477899176806,Marineara,dummy,1191.9946990079452
